ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Borough,Country,Timezone,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Bump,Give_Way,Stop,Amenity,Junction,Station,Railway,No_Exit,Crossing,Roundabout,Turning_Loop,Traffic_Calming,Traffic_Signal,Civil_Twilight
A-194,3,2020/11/4 16:18,2020/11/4 16:48,29.784912,-95.688347,0,Right and center lane blocked due to accident on I-10 Westbound at Barker Cypress Rd.,nan,Katy Tollway,R,Houston,Harris,TX,77094,Southwest,US,US/Central,79,79,44,30.1,10,S,5,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-223,2,2020/12/19 6:35,2020/12/19 7:50,29.79659,-95.579627,0.169,Incident on SHERWOOD FOREST ST near HAZELHURST DR Drive with caution.,1688, Sherwood Forest St,R,Houston,Harris,TX,77043-3602,Northwest,US,US/Central,63,63,87,30.04,10,E,6,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
A-292,2,2020/12/6 23:00,2020/12/7 2:21,29.734968,-95.347444,0.017,Incident on GULF FWY SB near SCOTT ST Drive with caution.,nan,Gulf Fwy,R,Houston,Harris,TX,77004,Inner Loop,US,US/Central,55,55,57,30.08,10,NNW,10,0,Fair,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Night
A-383,3,2020/4/14 8:57,2020/4/14 9:57,29.91696,-95.41274,0,At Mt Houston Rd - Accident. Left lane blocked.,nan,I-45 S,R,Houston,Harris,TX,77037,Northeast,US,US/Central,54,54,72,30.05,10,NNE,15,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-411,3,2020/9/16 12:19,2020/9/16 14:19,29.905119,-95.31073,0,Right and center lane blocked due to accident on I-69 Eastex Fwy Northbound at Aldine Mail Route.,nan,I-69 N,R,Houston,Harris,TX,77039,Northeast,US,US/Central,92,92,52,29.82,10,NNE,3,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-444,2,2020/12/21 8:17,2020/12/21 10:14,29.840179,-95.38967,0.125,Incident on NORTH FWY near GLENBURNIE DR Drive with caution.,5091, North Fwy,L,Houston,Harris,TX,77022-1722,Northeast,US,US/Central,48,48,89,30.15,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-630,3,2020/11/21 15:29,2020/11/21 16:59,29.766043,-95.455971,0,Centre lane blocked due to accident on Loop Fwy Westbound at Woodway Dr.,nan,Woodway Dr,R,Houston,Harris,TX,77027,Inner Loop,US,US/Central,79,79,40,30.13,10,ESE,14,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-638,3,2020/10/1 10:01,2020/10/1 10:37,29.784473,-95.468704,0,Lane blocked and left hand shoulder blocked due to accident on I-10 I-10 Westbound at Silber rd.,nan,I-10 W,R,Houston,Harris,TX,77024,Southwest,US,US/Central,75,75,53,30.11,10,WNW,5,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-730,2,2020/10/19 8:09,2020/10/19 9:27,29.73068,-95.484161,0,Accident on Beverlyhill St at Fountain View Dr.,nan,Beverlyhill St,R,Houston,Harris,TX,77057,Southwest,US,US/Central,77,77,90,29.97,5,SE,6,0,Mostly Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-742,2,12:02.0,51:02.0,29.675388,-95.550169,0.031,Incident on BISSONNET ST near COUNTRY CREEK DR Drive with caution.,nan,Country Creek Dr,R,Houston,Harris,TX,77036,Southwest,US,US/Central,50,50,66,30.19,10,CALM,0,0,Fair,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
A-756,3,2020/4/2 18:46,2020/4/2 19:31,29.61107,-95.4883,0,At Hillcroft Ave - Accident. Two lanes blocked.,nan,S Sam Houston Tollway E,R,Houston,Harris,TX,77085,Southwest,US,US/Central,70,70,85,29.85,10,SE,8,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-1045,3,2020/12/29 13:25,2020/12/29 14:42,29.77356,-95.24968,0,Left lane blocked due to accident on I-10 East Fwy Eastbound at Mercury Dr.,nan,I-10 E,R,Houston,Harris,TX,77029,Southeast,US,US/Central,73,73,55,29.99,10,SSE,18,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-1531,2,2020/10/29 1:51,2020/10/29 5:22,29.773231,-95.307476,0.026,Incident on KRESS ST near MARKET ST Drive with caution.,840, Kress St,R,Houston,Harris,TX,77020-6714,Inner Loop,US,US/Central,47,47,86,29.89,10,W,3,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
A-1671,3,2020/2/25 14:25,2020/2/25 15:25,29.77783,-95.411987,0.389999986,Exit ramp from I-10 Westbound at Exits 765A 765B to Washington Ave lane blocked due to accident.,nan,I-10 W,R,Houston,Harris,TX,77007,Inner Loop,US,US/Central,74,74,35,29.8,10,W,8,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-1684,3,2020/8/5 17:17,2020/8/5 18:31,29.785391,-95.64502,0,Right lane blocked due to accident on I-10 Eastbound after Tx-6.,nan,Katy Fwy,R,Houston,Harris,TX,77079,Southwest,US,US/Central,94,94,46,29.84,10,S,12,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Day
